seed,fold,condition,stage,batch,success,return,total_length,initial_length,feedback_length,response_length
0,0,duplex_direct,1,1,0.1875,0.029999999999999978,7.875,3.0,2.0,2.875
0,0,duplex_direct,1,2,0.3125,0.16374999999999995,7.4375,2.75,1.875,2.8125
0,0,duplex_direct,1,3,0.125,-0.017500000000000016,7.125,2.625,2.0,2.5
0,0,duplex_direct,1,4,0.25,0.09375,7.8125,3.0,2.0,2.8125
0,0,duplex_direct,1,5,0.125,-0.028750000000000005,7.6875,3.0,1.875,2.8125
0,0,duplex_direct,1,6,0.0,-0.14625000000000002,7.3125,2.6875,2.0,2.625
0,0,duplex_direct,1,7,0.125,-0.023750000000000004,7.4375,2.5625,2.0,2.875
0,0,duplex_direct,1,8,0.1875,0.031249999999999986,7.8125,2.8125,2.0,3.0
0,0,duplex_direct,1,9,0.4375,0.2862499999999999,7.5625,2.6875,1.875,3.0
0,0,duplex_direct,1,10,0.125,-0.025000000000000012,7.5,2.6875,1.9375,2.875
0,0,duplex_direct,1,11,0.125,-0.031250000000000014,7.8125,2.8125,2.0,3.0
0,0,duplex_direct,1,12,0.25,0.10124999999999999,7.4375,2.9375,2.0,2.5
0,0,duplex_direct,1,13,0.25,0.10624999999999997,7.1875,2.625,1.8125,2.75
0,0,duplex_direct,1,14,0.125,-0.02750000000000001,7.625,2.875,1.9375,2.8125
0,0,duplex_direct,1,15,0.3125,0.16249999999999995,7.5,2.875,1.75,2.875
0,0,duplex_direct,1,16,0.0625,-0.08875,7.5625,2.875,2.0,2.6875
0,0,duplex_direct,1,17,0.3125,0.17374999999999996,6.9375,2.75,1.625,2.5625
0,0,duplex_direct,1,18,0.125,-0.02625000000000001,7.5625,2.9375,1.875,2.75
0,0,duplex_direct,1,19,0.0625,-0.08999999999999997,7.625,2.8125,2.0,2.8125
0,0,duplex_direct,1,20,0.0625,-0.09,7.625,2.8125,1.9375,2.875
0,0,duplex_direct,1,21,0.3125,0.1637499999999999,7.4375,2.8125,1.75,2.875
0,0,duplex_direct,1,22,0.5,0.34624999999999995,7.6875,2.8125,1.9375,2.9375
0,0,duplex_direct,1,23,0.125,-0.020000000000000014,7.25,2.625,1.8125,2.8125
0,0,duplex_direct,1,24,0.25,0.10624999999999998,7.1875,2.5625,1.9375,2.6875
0,0,duplex_direct,1,25,0.0625,-0.09,7.625,2.8125,1.875,2.9375
